L,det_minus,det_plus,det_plus_approx
100,12.397902818820278,3.840262569454549,1.8589958071224704
200,12.10899773808796,3.8213107257559367,1.861224824088753
300,11.961537802583447,3.811671491696331,1.864774875133646
400,11.868341177662293,3.80575870005746,1.8677962127587624
500,11.806352033844206,3.801815085310318,1.8700730953163036
600,11.757358853592736,3.798881699630602,1.8721269900304238
700,11.72291309166588,3.7967248949317507,1.8736012581925676
800,11.69170080620896,3.7949532488782727,1.87509399590796
900,11.667146212204816,3.793542717804231,1.8762989644328025
1000,11.648197036913173,3.792405085434697,1.8772272317069152
1100,11.630486014294837,3.7914219412453414,1.8781567861638202
1200,11.613863429699736,3.7905639713888797,1.8790807577589648
1300,11.601505541497675,3.7898564571161786,1.8797419785105554
1400,11.586587861818893,3.789185302920413,1.8806493567864968
1500,11.57551043702958,3.7886259975218066,1.8813002473905538
1600,11.564938908470452,3.7881241039238196,1.8819456187921173
1700,11.557681660922576,3.7877000602194504,1.8823511149942134
1800,11.547905760966934,3.7872876083086324,1.8829864545068125
1900,11.541266635542545,3.786937151073648,1.8833846024910095
2000,11.534811018417244,3.786615822668461,1.8837848705518514
