weight,saddle_1R2,pf_minus_1R2,pf_plus_1R2,p_1R2,entropy
0.0,61.17451728818319,4.121458804349706e27,3.553763394726551e26,0.07938115388569607,0
0.02,61.113841594186376,4.0852222553523315e27,7.412313445054101e26,0.15357680938386267,0.14144054254182067
0.04,61.06702654214542,4.046612880777638e27,9.61968044204935e26,0.19206399150040332,0.24229218908241482
0.06,61.0269131823195,4.007129212582901e27,1.134551117041955e27,0.2206576535894314,0.32744491915447627
0.08,60.99142219939493,3.966986914841977e27,1.2811942023411562e27,0.2441215677840048,0.4021791902022728
0.1,60.95951605022783,3.9262566519219664e27,1.4109677632762914e27,0.26436358180076247,0.4689955935892812
0.12,60.930569027060535,3.88496533251758e27,1.5286368678123993e27,0.2823696332396243,0.5293608652873644
0.14,60.90416249314084,3.8431213274305355e27,1.6370723036631616e27,0.29872526663559634,0.584238811642856
0.16,60.87999719194837,3.8007233709739026e27,1.7381620317206603e27,0.31381079501574044,0.6343095546405662
0.18,60.85784919327466,3.757764370314162e27,1.8332261458984875e27,0.3278893320570895,0.6800770457282798
0.2,60.8375452752691,3.714233241560416e27,1.9232305701063285e27,0.3411517367306551,0.7219280948873623
0.22,60.81894807122657,3.6701158597223887e27,2.0089073024564113e27,0.3537416990716549,0.7601675029619657
0.24,60.80194657282457,3.6253955637461915e27,2.090826770849161e27,0.3657707220720219,0.7950402793845223
0.26,60.78644977650329,3.5800534163725283e27,2.1694437301741708e27,0.3773275601114432,0.8267463724926178
0.28,60.77238227581646,3.534068316784081e27,2.245127644022409e27,0.38848442919196324,0.8554508105601306
0.3,60.759681112646184,3.487417016862489e27,2.318183516516318e27,0.399301244236168,0.8812908992306927
0.32,60.748293473387896,3.44007406823185e27,2.3888666050282508e27,0.40982860161658985,0.9043814577244939
0.34,60.73817497059096,3.3920117145182387e27,2.4573930767089777e27,0.4201099367228801,0.9248187049730301
0.36,60.72928834178797,3.3431997358505396e27,2.5239478970023976e27,0.43018312388623364,0.9426831892554922
0.38,60.72160245329801,3.2936052479411933e27,2.588690781060243e27,0.4400816906012961,0.9580420222262995
0.4,60.71509153241064,3.243192454784102e27,2.651760759340053e27,0.44983576001697567,0.9709505944546686
0.42,60.70973457469632,3.1919223513679945e27,2.713279732298142e27,0.4594727993819395,0.9814538950336535
0.44,60.70551488892375,3.139752370386219e27,2.7733552747761544e27,0.4690182288572219,0.9895875212220556
0.46,60.702419752979935,3.086635964434648e27,2.832082874782733e27,0.47849592989911527,0.9953784388202257
0.48,60.70044016199321,3.0325221123770935e27,2.889547739880288e27,0.48792868236413106,0.9988455359952018
0.5,60.69957065563559,2.977354735174497e27,2.945826268763918e27,0.4973385528494221,1.0
0.52,60.69980921605135,2.921072002250078e27,3.0009872605453885e27,0.5067472524968948,0.9988455359952018
0.54,60.7011572315092,2.863605504017699e27,3.055092916306021e27,0.5161764799191989,0.9953784388202257
0.56,60.703619524080594,2.804879259065069e27,3.1081996744517407e27,0.5256482636877529,0.9895875212220556
0.58,60.707204442696785,2.74480851495354e27,3.160358911798644e27,0.5351853187906692,0.9814538950336537
0.6,60.71192402611389,2.6832982886910437e27,3.21161753514454e27,0.5448114326176875,0.9709505944546686
0.62,60.717794243908344,2.620241575189575e27,3.262018482645031e27,0.5545518985173625,0.9580420222262995
0.64,60.72483532799427,2.5555171272441593e27,3.311601150123786e27,0.5644340191500975,0.9426831892554922
0.66,60.73307221278044,2.4889866754167267e27,3.360401754155712e27,0.5744877083502797,0.92481870497303
0.68,60.74253510965465,2.4204914054314247e27,3.40845364109597e27,0.5847462300449312,0.9043814577244937
0.7,60.75326025204916,2.3498474359156957e27,3.455787548977511e27,0.595247127656111,0.8812908992306927
0.72,60.76529086254018,2.276839926814549e27,3.5024318271629216e27,0.606033420171398,0.8554508105601306
0.74,60.778678415937556,2.2012152754078023e27,3.5484126166017774e27,0.6171551765172676,0.8267463724926178
0.76,60.79348430660579,2.122670582284053e27,3.593753991226954e27,0.6286716364420922,0.7950402793845223
0.78,60.80978208211388,2.040839121263135e27,3.6384780579836765e27,0.6406541390713821,0.7601675029619656
0.8,60.82766049280076,1.955269788835235e27,3.682605008430132e27,0.6531902784035515,0.7219280948873623
0.82,60.847227754542715,1.865397172231046e27,3.726153107241919e27,0.6663899850674561,0.6800770457282799
0.84,60.86861768270986,1.7704964042668808e27,3.769138589054945e27,0.6803947540945819,0.6343095546405662
0.86,60.89199884051363,1.6696121347565236e27,3.811575407537426e27,0.695392262739879,0.584238811642856
0.88,60.91758880795167,1.5614407890267923e27,3.853474721224003e27,0.711640784409123,0.5293608652873644
0.9,60.945677748050464,1.4441220088522193e27,3.894843859742242e27,0.7295127849857561,0.4689955935892811
0.92,60.97667038148128,1.314835494514291e27,3.935684136702724e27,0.7495799298231505,0.40217919020227266
0.94,61.01116899037602,1.1689212815834862e27,3.975985687604784e27,0.7728003074528068,0.32744491915447643
0.96,61.05016528636105,9.975771752228398e26,4.015712780338137e27,0.8010134693852526,0.24229218908241493
0.98,61.095619733106474,7.795958928562774e26,4.054745070900125e27,0.83873791718437,0.14144054254182076
1.0,61.15391079751088,4.124711961114188e26,4.0922756666178323e27,0.9084363209120437,0
